"variable","media","mediana","moda","rango","desviacion_estandar","coeficiente_variacion"
"Confianza en el Gobierno",1.84698275862069,2,2,3,0.832658051259922,0.450820695197904
"Situación política",2.19683908045977,2,2,4,0.901339402708107,0.410289224515921
"Situación económica",2.33045977011494,2,2,4,0.891685576491848,0.382622170923752
"Nivel educacional",4.54166666666667,4,4,10,2.32536467511531,0.512006900942821
"Área urbana/rural",0.125718390804598,0,0,1,0.331650862310088,2.63804571620367
